Grupo;Preferncia;Día;Inicio;Fin;Escenario;Relevancia;Procedencia;Descripción
BACK IN TOWN;TRUE;miércoles, 3;17:30;18:10;Warm Up;4;Lugo
ARCHIVO ADXUNTO;TRUE;miércoles, 3;18:40;19:20;Warm Up;1;Galicia;Punk gallego muy común
DEVIL IN ME;TRUE;miércoles, 3;19:45;20:25;Warm Up;5;Portugal;Hardcore con mucha caña, ideal para levantar los ánimos en la bienvenida.
BURY TOMORROW;TRUE;miércoles, 3;21:00;21:50;Warm Up;5;Inglaterra;Metalcore melódico
MUNICIPAL WASTE;TRUE;miércoles, 3;22:15;23:00;Warm Up;5;EEUU – Virginia;Thrash metal si no recuerdo mal. Un poco más guarretes que crisix, pero muy guays.
IGNITE;TRUE;miércoles, 3;23:30;00:30;Warm Up;4;EEUU – California;La música es bastante melódica. Rock americano bastante diferente. No está mal. La música es parecida a la intro del anime del pintor, pero con una buena base.
KVELERTAK;TRUE;miércoles, 3;01:10;02:10;Warm Up;5;Noruega;Parecen Hard Rock, no están mal. Es en la warm up, así que puede ser buena opción. Son mejores de lo que parecía, me los guardo
Band contest;;jueves, 4;14:00;14:30;Chaos
CABEZA DE CABALLO;FALSE;jueves, 4;14:30;15:00;Desert;4;Granada;Doom metal que va algo más rápido de lo normal. Tienen un estilo interesante
LÓSTREGOS;TRUE;jueves, 4;14:30;15:00;Ritual;4;A Coruña;Death metal en gallego, bastante interesante.
TRALLERY;TRUE;jueves, 4;15:00;15:40;Main;5;Mallorca;Thrash metal
CONTROL DE PLAGAS;FALSE;jueves, 4;15:00;15:35;Chaos;3;Bilbao;Hardcore melódico más tirando a punk. Puede ser interesante. El cantante va a lo Bumbury
VOLTAIA;FALSE;jueves, 4;15:35;17:25;Desert;3;Guipuzkoa;Hard rock clásico. No están mal, pero no son demasiado destacables.
MELTDOWN;TRUE;jueves, 4;15:40;16:20;Ritual;4;Guipuzkoa;Es hardcore pero algo melódico y le meten mucha caña.
CATORCE;FALSE;jueves, 4;16:10;16:45;Chaos;4;Sevilla;Muy melódico, casi pop, habrá que escuchar más. Puede que no estén tan mal después de todo. Tienen un toque algo psicodélico.
CANE HILL;TRUE;jueves, 4;16:20;17:10;Main;4;EEUU – Louisiana;Nu metal. El guitarrista me recuerda a Slayer. Tienen una mezcla de estilos interesante. Hay mucho cambio de ritmo entre las canciones rápidas y lentas.
ELECTRIC MONOLITH;FALSE;jueves, 4;16:45;17:25;Desert;3;Barcelona;Un intento de Led Zeppelin lentillo. No están mal, pero no son espectáculares.
KAUSE 4 KONFLIKT;TRUE;jueves, 4;17:10;17:50;Ritual;4;Francia;Death metal bastante neutro. Es rapidillo, casi thrash
MAIN LINE 10;FALSE;jueves, 4;17:15;18:00;Chaos;4;Mallorca;Hardcore tirando a una mezcla entre punk americano medio bestia, el guitarra es bastante bueno. La verdad que tienen mucha energía.
CRYSTAL LAKE;TRUE;jueves, 4;17:50;18:40;Main;5;Japón;Metalcore
BONES OF MINERVA;FALSE;jueves, 4;18:00;18:40;Desert;5;Madrid;Estas tías son buenísimas, ve a verlas.
KITAI;TRUE;jueves, 4;18:40;19:30;Chaos;3;Madrid;Movidas medio Rap medio Indie… Es famosete por lo visto, me suenan canciones, puede ser bueno para despejar y variar de otras cosas más tochas
ALTARAGE;FALSE;jueves, 4;18:40;19:20;Ritual;3;Bilbao;Black metal, muy sucio todo… en directo tienen que ser un poco suplicio. No me está molando demasiado ahora…
CABOVERDE;FALSE;jueves, 4;19:20;20:00;Desert;3;Madrid;Rock alternativo bastante insípido de momento.
GOJIRA;TRUE;jueves, 4;19:25;20:25;Main;5;Francia;Sí, joder
HIGHER POWER;FALSE;jueves, 4;20:00;20:40;Chaos;3;Inglaterra;No me atraen demasiado. No puedo describir el estilo demasiado.
